"Location ID","Location Name","Location Name (Spanish)",Address,"Address Line 2",City,State,Zip
1131,"Catalina Foothills High School",,"4300 E. Sunrise Dr.",,Tucson,AZ,85718
462,"Catalina Recreation Center",,"16562 N. Oracle Rd.",,Tucson,AZ,85739
991,"Centennial Elementary School ",,"3507 S. Ranch House Parkway ",,"Gilbert ",AZ,85297
71,"Centennial Youth Enrichment Services",,"2200 W. Wetmore Rd.",,Tucson,AZ,85705
362,"Centerra Mirage School",,"15151 Centerra Drive South",,Goodyear,AZ,85338
198,"Central Mesa",,"466 S. Bellview St.",,Mesa,AZ,85204
149,"Central Park Neighborhood Center",,"140 E. Tonto Street",,Phoenix,AZ,85004
23,"Central United Methodist Church",,"1875 North Central Avenue",,Phoenix,AZ,85004
50,"Central & Western Avenue",,"301 E. Western Avenue",,Avondale,AZ,85323
348,"C. E. Rose",,"710 W. Michigan Dr",,,AZ,85748
281,"Cerritos Elementary",,"14620 S. Desert Foothills Parkway",,Phoenix,AZ,85048
633,"Cerritos Elementary School",,"14620 S Desert Foothills Pky.",,Phoenix,AZ,85018
1050,"Cesar Chavez Community School",,"4001 S. 3rd Street",,Phoenix,AZ,85040
346,"Cesar Chavez Elementary School",,"4001 S. Third St",,Phoenix,AZ,85040
239,"Challenge Charter School",,"5801 West Greenbriar Dr.",,Glendale,AZ,85308
803,"Challenger Middle School",,"100 E. Elvira Rd",,"Tucson ",AZ,85706
608,Chandler,,"201 S. Washington",,Chandler,AZ,85225
800,"Chandler/Gilbert Family YMCA",,"1655 W Frye Road",,Chandler,AZ,85224
536,"Chaparral Drinkwater Building",,"8102 E Jackrabbit Rd.",,Scottsdale,AZ,85250
804,"Chaparral Middle School",,"3700 E. Alvord Rd",,"Tucson ",AZ,85706
884,"Cheatham Elementary School",,"4725 West south Mountain Avenue",,Laveen,AZ,85339
211,"Cherokee Elementary School",,"8801 North 56th Street",,"Paradise Valley",AZ,85253
1160,"Cherry Ave Recreation Center",,"5085 S. Cherry Ave.",,Tucson,AZ,85706
617,"Cheyenne elementary",,"11806 N. 87 Ave",,Peoria,AZ,85345
404,"Cheyenne Traditional School",,"13636 N. 100th St.",,Scottsdale,AZ,85260
1051,"Children First Academy ",,"1938 E Apache Blvd",,Tempe,AZ,85281
677,"Children Reaching for the Sky Elementary",,"1844 S. Alvernon Way",,Tucson,AZ,85711
34,"Children's Campus",,"2830 N. 43rd Ave",,Phoenix,AZ,85009
589,"Children's Campus Too",,"3446 W. Camelback Road","Ste 135",Phoenix,AZ,85017
709,"Children's Success Academy",,"925 East Bilby Road",,Tucson,AZ,85706
853,Childtime,,"5930 W Greenway Rd","Suite #15",Glendale,AZ,85306
83,"Childtime Learning Center",,"5675 E. River Rd",,Tucson,AZ,85750
466,"Childtime Learning Center",,"3011 W. Bell Rd.",,Phoenix,AZ,85053
588,"Childtime Learning Centers",,"7090 N. Thornydale Rd",,Tucson,AZ,85741
176,"Childtime,  Tucson AZ",,"1120 S Harrison Road",,,AZ,85748
1111,"Chino After School Advantage",,"1036 Road 1 West",,"Chino Valley",AZ,86323
1074,"Cholla Campus",,"11130  Cholla st ",,scottsdale,AZ,85259
302,"Cholla high School",,"2001 W. Starr Pass Blvd",,Tucson,AZ,85713
171,"Cholla Middle School",,"3120 W. Cholla Avenue",,Phoenix,AZ,85029
1169,"Christ's Community Church",,"4530 W. Thunderbird Rd.",,Glendale,AZ,85306
838,"Cimarron Springs Elementary",,"17032 W. Surprise Farms Loop S",,Surprise,AZ,85388
415,"City High School",,"48 E. Pennington Street",,Tucson,AZ,85705
1098,"City of Chandler Community Center",,"125 E. Commonwealth Ave.",,Chandler,AZ,85225
584,"City of Tempe Westside Multi-Generation Center",,"715 W 5th St",,Tempe,AZ,85281
666,"Clarendon School",,"1225 West Clarendon",,Phoenix,AZ,85013
39,"Classic Cooking Academy",,"10411 E. McDowell Mountain Ranch Rd.",,Scottsdale,AZ,85255
45,"Clements Center",,"8155 E. Poinciana Dr",,Tucson,AZ,85730
307,"Cloves C. Campbell Elementary School",,"2624 E. South Mountain Avenue",,Phoenix,AZ,85042
292,"Cochise Elementary",,"9451 N. 84th street",,Scottsdale,AZ,85258
581,"Colina Elementary School",,"13612 S. 36th St",,Phoenix,AZ,85226
1046,"Collier Elementary School",,"3900 N. Bear Canyon Rd",,Tucson,AZ,85749
526,"Collier Elementary School",,"3900 N. Bear Canyon",,Tucson,AZ,85749
889,"Combs Kidz at CTA",,"37237 N. Gantzel Rd",,"San Tan Valley",AZ,85140
826,"Combs Kidz Combs Traditional Acadmey",,"37327 N. Gantzel Rd",,"San Tan Valley",AZ,85140
827,"Combs Kidz Ellsworth Elementary",,"38454 N. Carolina Ave",,"San Tan Valley",AZ,85140
828,"Combs Kidz Harmon Elementary",,"39315 N. Cortona Dr",,"San Tan Valley",AZ,85140
830,"Combs Kidz Ranch",,"43521 N. Kenworthy",,"San Tan Valley",AZ,85140
829,"Combs Kidz Simonton Elementary",,"40300 N. Simonton Blvd",,"San Tan Valley",AZ,85140
616,"Community Based Site",,"201 S. Washington Street",,Chandler,AZ,85225
524,"Community Bridges",,"1811 S Alma School Road","ste 160",mesa,AZ,85210
53,"Community Literacy Center",,"949 E 35th St",,Tucson,AZ,85713
298,"Community Schools Office",,"9313 North 95th Way",,Scottsdale,AZ,85258
644,"Conley Elementary School",,"500 S. Arrowhead Dr.",,Chandler,AZ,85224
673,"Conley Elementary School",,"1525 W. Frye Rd.",,Chandler,AZ,85224
1032,"Copper Basin Family YMCA",,"28300 N. Main Street",,"San Tan Valley",AZ,85143
421,"Copper Canyon Elementary School",,"17650 N. 54th St.",,Scottsdale,AZ,85254
1113,"Copper Creek Before and After School Program",,"11620 N. Copper Springs Trail",,Tucson,AZ,85737
63,"Copper Creek Elementary School",,"7071 W Hillcrest Blvd",,Glendale,AZ,85310
313,"Copper Creek Elementary School",,"11621 N. Copper Springs Trail",,"Oro Valley",AZ,85737
1033,"Copper Creek School Age Program",,"11620 N. Copper Spring Trail",,Tucson,AZ,85737
337,"Copper King Elementary",,"10730 West Campbell Avenue",,Phoenix,AZ,85037
564,"Copper Ridge Elem.",,"10101 E Thompson Peak Pkwy",,Scottsdale,AZ,85255
746,"Corbett Elementary",,"5949 E 29th ",,Tucson,AZ,85711
1112,"Coronado Before and After School Program",,"3401 E. Wilds Rd.",,Tucson,AZ,85738
580,"Coronado K-8 School",,"3401 E. Wilds Rd",,Tucson,AZ,85739
1034,"Coronado School Age Program",,"3401 E. Wilds Road",,Tucson,AZ,85738
55,"Corona Foothills Middle School",,"16705 South Houghton Road",,Vail,AZ,85641
969,"Corte Sierra Elementary",,"3300 N Sante Fe Trail",,Avondale,AZ,85392
861,"Corte Sierra Elementary",,"3300 Santa Fe Trail",,Avondale,AZ,85392
245,"Cotton Boll elementary",,"8540 W. Butler Dr.",,Peoria,AZ,85345
152,"Cotton Boll Elementary School",,"8540 W. Butler Ave",,Peoria,AZ,85345
596,"Cotton Boll School",,"8540 West Butler",,Peoria,AZ,85345
621,"Cottonwood Elementary School",,"9950 Rees Loop",,Tucson,AZ,85747
22,"Country Meadows Elementary",,"8409 N. 111 AVe",,Peoria,AZ,85345
